startx,y,starty,goalx,goaly
0.04,-0.95,-1.0,3.2,-1.45
-0.26,0.07,0.5700000000000001,3.27,0.5700000000000001
-0.37,-0.64,-0.93,3.85,-1.1400000000000001
-0.39,-0.55,-0.64,3.44,-1.05
-0.09,-0.04,0.46,2.81,0.46
-0.15,-0.66,-0.5,3.28,-1.1600000000000001
-0.33,-0.61,-0.59,3.2,-1.1099999999999999
-0.15,-0.16,0.33999999999999997,3.19,0.33999999999999997
-0.38,-0.93,-0.68,2.78,-1.4300000000000002
-0.39,-0.41,0.09000000000000002,2.75,0.09000000000000002
-0.21,-0.4,0.09999999999999998,3.23,0.09999999999999998
-0.36,-0.53,-0.74,2.86,-1.03
-0.02,-0.4,0.09999999999999998,3.78,0.09999999999999998
-0.4,-0.35,0.15000000000000002,3.25,0.15000000000000002
-0.1,-0.15,0.35,2.75,0.35
-0.36,0.01,0.51,3.49,0.51
-0.06,-0.66,-0.7,3.48,-1.1600000000000001
-0.08,-0.67,-0.55,3.84,-1.17
-0.01,-0.95,-0.7,3.0,-1.45
-0.15,-1.03,-0.85,2.74,-1.53
-0.14,-0.88,-1.11,3.52,-1.38
-0.17,0.02,0.52,3.05,0.52
0.09,-0.13,0.37,2.95,0.37
-0.02,-0.53,-0.26,2.91,-1.03
-0.13,-0.98,-1.08,3.55,-1.48
-0.28,-0.71,-0.55,3.13,-1.21
-0.27,-0.32,0.18,2.98,0.18
-0.22,-0.58,-0.81,3.4,-1.08
-0.31,-0.28,0.21999999999999997,2.74,0.21999999999999997
0.02,-0.69,-0.83,3.6,-1.19
-0.02,-0.17,0.32999999999999996,3.26,0.32999999999999996
0.06,-0.38,0.12,3.4,0.12
-0.08,0.06,0.56,3.59,0.56
-0.12,-0.22,0.28,2.89,0.28
-0.11,-0.55,-0.8,3.17,-1.05
-0.18,-0.98,-1.04,3.9,-1.48
-0.2,-0.28,0.21999999999999997,3.29,0.21999999999999997
-0.15,-0.05,0.45,3.37,0.45
-0.15,-0.22,0.28,3.31,0.28
-0.15,-0.51,-0.27,2.89,-1.01
-0.39,-0.26,0.24,3.28,0.24
0.04,-0.54,-0.5,3.89,-1.04
-0.19,-1.03,-1.18,3.39,-1.53
-0.26,-0.82,-0.52,3.24,-1.3199999999999998
-0.22,0.1,0.6,3.55,0.6
-0.28,-0.41,0.09000000000000002,3.73,0.09000000000000002
-0.18,-0.01,0.49,2.92,0.49
0.05,-0.87,-1.07,3.54,-1.37
0.05,-0.79,-0.98,3.75,-1.29
0.02,-0.45,0.04999999999999999,3.57,0.04999999999999999
-0.3,-0.84,-0.82,3.26,-1.3399999999999999
0.05,-0.36,0.14,3.25,0.14
-0.18,-0.88,-1.04,3.68,-1.38
0.04,-0.59,-0.67,2.84,-1.0899999999999999
-0.21,-0.66,-0.94,3.82,-1.1600000000000001
-0.33,-1.06,-0.95,3.03,-1.56
-0.11,-0.76,-1.05,3.45,-1.26
-0.09,-0.55,-0.34,2.81,-1.05
-0.17,-0.49,0.010000000000000009,3.08,0.010000000000000009
-0.34,-0.62,-0.34,3.51,-1.12
0.04,0.05,0.55,3.29,0.55
-0.04,-0.62,-0.68,3.36,-1.12
0.01,-0.01,0.49,3.07,0.49
0.06,-0.89,-0.65,3.56,-1.3900000000000001
0.08,0.01,0.51,3.41,0.51
-0.32,-0.26,0.24,3.54,0.24
-0.32,-0.3,0.2,3.42,0.2
-0.22,-0.06,0.44,3.22,0.44
0.04,-0.06,0.44,3.39,0.44
-0.23,0.04,0.54,2.99,0.54
-0.15,-0.21,0.29000000000000004,3.81,0.29000000000000004
-0.32,-0.69,-0.43,3.61,-1.19
-0.4,-1.09,-1.12,2.85,-1.59
-0.17,-0.2,0.3,3.02,0.3
-0.31,-0.84,-0.8,3.87,-1.3399999999999999
-0.28,-1.07,-0.78,3.56,-1.57
-0.31,-0.93,-0.68,2.79,-1.4300000000000002
-0.14,-0.83,-0.84,3.37,-1.33
-0.19,-0.0,0.5,3.85,0.5
-0.14,-0.78,-1.07,3.85,-1.28
-0.3,-0.02,0.48,3.03,0.48
0.06,-0.24,0.26,3.78,0.26
0.06,-0.17,0.32999999999999996,3.54,0.32999999999999996
-0.04,-1.03,-1.19,3.01,-1.53
-0.21,-1.0,-1.16,3.06,-1.5
-0.23,-0.63,-0.54,3.57,-1.13
-0.32,0.09,0.59,3.06,0.59
-0.25,-0.61,-0.64,3.44,-1.1099999999999999
0.0,-0.84,-0.9,3.79,-1.3399999999999999
-0.34,-0.55,-0.67,3.09,-1.05
-0.3,-0.11,0.39,3.84,0.39
0.04,-0.97,-0.78,3.26,-1.47
-0.1,-0.4,0.09999999999999998,3.16,0.09999999999999998
-0.27,-0.06,0.44,3.0,0.44
0.03,-0.75,-0.62,3.78,-1.25
-0.27,-0.55,-0.36,3.01,-1.05
-0.35,-0.77,-0.57,3.02,-1.27
0.04,-0.58,-0.84,2.81,-1.08
-0.02,-0.79,-0.78,3.44,-1.29
-0.36,-0.4,0.09999999999999998,3.39,0.09999999999999998
