startx,y,starty,goalx,goaly
-0.21,-0.44,-0.38,3.23,0.06
-0.12,-0.85,-1.03,3.88,-1.35
-0.13,-0.88,-0.9,3.65,-1.38
-0.06,-0.31,-0.45,3.69,0.19
-0.28,-0.19,-0.35,3.58,0.31
-0.1,-0.12,-0.06,3.26,0.38
-0.09,-0.27,-0.3,2.84,0.22999999999999998
-0.08,-0.8,-0.69,3.37,-1.3
-0.02,-1.04,-1.19,2.79,-1.54
-0.06,-0.2,-0.15,3.34,0.3
-0.18,-0.18,-0.1,3.8,0.32
-0.07,-0.54,-0.68,2.71,-1.04
-0.18,0.04,0.04,2.81,0.54
-0.23,-0.84,-0.66,2.74,-1.3399999999999999
-0.09,-0.39,-0.43,3.64,0.10999999999999999
